<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	09:55:00	2634.61	2636.02	2634.34	2636.02	451	0	24
2025.01.02	10:00:00	2635.98	2636.45	2635.05	2635.96	938	0	20
2025.01.02	10:05:00	2636.00	2637.02	2635.23	2635.25	858	0	20
2025.01.02	10:10:00	2635.25	2635.46	2633.94	2635.06	533	0	20
2025.01.02	10:15:00	2635.06	2635.16	2633.58	2634.50	504	0	20
2025.01.02	10:20:00	2634.48	2634.60	2632.63	2632.63	578	0	20
2025.01.02	10:25:00	2632.63	2633.31	2631.33	2633.30	632	0	20
2025.01.02	10:30:00	2633.30	2633.84	2631.07	2633.74	497	0	20
2025.01.02	10:35:00	2633.74	2634.29	2633.33	2633.90	423	0	20
2025.01.02	10:40:00	2633.97	2636.88	2633.59	2636.18	489	0	20
2025.01.02	10:45:00	2636.18	2637.75	2635.67	2635.89	524	0	20
2025.01.02	10:50:00	2635.94	2636.61	2635.35	2635.69	468	0	20
2025.01.02	10:55:00	2635.69	2637.14	2635.58	2636.48	513	0	20
2025.01.02	11:00:00	2636.47	2639.91	2636.47	2638.43	1127	0	20
2025.01.02	11:05:00	2638.37	2639.43	2638.04	2638.31	526	0	20
2025.01.02	11:10:00	2638.26	2639.17	2637.26	2638.24	522	0	20
2025.01.02	11:15:00	2638.24	2638.66	2637.72	2638.17	432	0	20
2025.01.02	11:20:00	2638.17	2638.36	2637.21	2637.43	701	0	23
2025.01.02	11:25:00	2637.43	2639.93	2637.29	2637.48	621	0	20
2025.01.02	11:30:00	2637.49	2638.39	2637.13	2637.93	576	0	20
2025.01.02	11:35:00	2637.88	2637.88	2636.69	2636.89	493	0	26
2025.01.02	11:40:00	2636.88	2637.72	2636.77	2637.13	578	0	20
2025.01.02	11:45:00	2637.14	2637.98	2636.60	2637.44	640	0	20
2025.01.02	11:50:00	2637.36	2637.65	2636.36	2636.84	696	0	20
2025.01.02	11:55:00	2636.83	2637.38	2635.99	2636.06	634	0	20
2025.01.02	12:00:00	2636.06	2636.14	2633.59	2633.70	802	0	20
2025.01.02	12:05:00	2633.68	2635.56	2632.72	2635.47	695	0	20
2025.01.02	12:10:00	2635.50	2638.91	2635.36	2638.86	560	0	20
2025.01.02	12:15:00	2638.86	2643.86	2638.11	2643.28	743	0	20
2025.01.02	12:20:00	2643.35	2646.32	2642.80	2645.51	1261	0	20
2025.01.02	12:25:00	2645.51	2646.17	2644.46	2644.68	788	0	20
2025.01.02	12:30:00	2644.69	2645.51	2643.14	2643.88	857	0	20
2025.01.02	12:35:00	2643.89	2645.63	2643.11	2644.38	842	0	20
2025.01.02	12:40:00	2644.38	2645.27	2643.60	2643.95	635	0	20
2025.01.02	12:45:00	2643.95	2644.12	2642.25	2642.90	719	0	20
2025.01.02	12:50:00	2642.90	2643.72	2640.43	2642.60	935	0	20
2025.01.02	12:55:00	2642.62	2642.93	2641.77	2642.71	701	0	20
2025.01.02	13:00:00	2642.73	2643.57	2642.38	2643.13	427	0	20
2025.01.02	13:05:00	2643.14	2644.28	2643.12	2644.13	536	0	20
2025.01.02	13:10:00	2644.15	2644.57	2643.72	2644.17	506	0	20
2025.01.02	13:15:00	2644.17	2644.39	2643.01	2643.23	558	0	20
2025.01.02	13:20:00	2643.26	2643.71	2641.92	2642.14	535	0	20
2025.01.02	13:25:00	2642.13	2642.13	2640.62	2641.78	540	0	20
2025.01.02	13:30:00	2641.78	2642.07	2640.26	2640.80	392	0	20
2025.01.02	13:35:00	2640.78	2641.89	2640.38	2641.89	431	0	20
2025.01.02	13:40:00	2641.89	2642.70	2640.95	2642.14	459	0	20
2025.01.02	13:45:00	2642.14	2642.57	2641.12	2642.08	427	0	20
2025.01.02	13:50:00	2642.13	2642.20	2641.28	2641.87	505	0	20
2025.01.02	13:55:00	2641.91	2642.38	2641.72	2642.03	625	0	20
2025.01.02	14:00:00	2642.01	2642.91	2641.10	2641.25	784	0	20
2025.01.02	14:05:00	2641.30	2641.46	2640.41	2640.65	496	0	20
2025.01.02	14:10:00	2640.65	2641.54	2640.31	2641.05	494	0	20
2025.01.02	14:15:00	2641.00	2641.72	2640.50	2641.43	460	0	20
2025.01.02	14:20:00	2641.51	2642.10	2641.00	2642.08	593	0	20
2025.01.02	14:25:00	2642.36	2643.22	2641.60	2642.76	691	0	20
2025.01.02	14:30:00	2642.77	2645.21	2642.21	2643.95	988	0	20
2025.01.02	14:35:00	2643.96	2645.15	2643.41	2644.40	567	0	20
2025.01.02	14:40:00	2644.42	2644.60	2643.21	2644.30	644	0	20
2025.01.02	14:45:00	2644.39	2646.48	2644.14	2645.68	996	0	20
2025.01.02	14:50:00	2645.71	2645.71	2644.29	2645.30	776	0	20
2025.01.02	14:55:00	2645.27	2645.27	2642.82	2643.35	1102	0	20
2025.01.02	15:00:00	2643.28	2643.31	2640.76	2641.80	1597	0	20
2025.01.02	15:05:00	2641.83	2643.30	2641.47	2641.88	1227	0	20
2025.01.02	15:10:00	2641.87	2642.48	2638.36	2638.53	1490	0	20
2025.01.02	15:15:00	2638.70	2639.33	2636.60	2637.51	1091	0	20
2025.01.02	15:20:00	2637.27	2639.35	2636.10	2637.55	1272	0	20
2025.01.02	15:25:00	2637.54	2641.05	2636.82	2639.35	943	0	20
2025.01.02	15:30:00	2639.22	2640.94	2636.96	2640.19	1495	0	20
2025.01.02	15:35:00	2640.29	2640.97	2638.98	2638.98	1297	0	20
2025.01.02	15:40:00	2638.93	2640.18	2638.59	2639.24	1326	0	20
2025.01.02	15:45:00	2639.11	2642.97	2638.23	2642.58	1611	0	20
2025.01.02	15:50:00	2642.58	2645.51	2642.55	2645.30	1122	0	20
2025.01.02	15:55:00	2645.29	2647.20	2642.84	2642.84	1085	0	20
2025.01.02	16:00:00	2642.95	2644.88	2640.33	2641.63	1751	0	20
2025.01.02	16:05:00	2641.63	2642.27	2640.51	2641.52	980	0	20
2025.01.02	16:10:00	2641.50	2646.89	2641.43	2646.89	1432	0	20
2025.01.02	16:15:00	2646.86	2649.09	2646.34	2647.09	1528	0	20
2025.01.02	16:20:00	2647.11	2648.05	2646.25	2646.39	1326	0	20
2025.01.02	16:25:00	2646.40	2647.54	2646.17	2646.68	1195	0	20
2025.01.02	16:30:00	2646.79	2650.16	2646.29	2648.68	1888	0	20
2025.01.02	16:35:00	2648.68	2649.68	2646.49	2648.03	1907	0	20
2025.01.02	16:40:00	2648.13	2649.72	2647.53	2649.12	1326	0	20
2025.01.02	16:45:00	2649.17	2651.10	2647.95	2648.38	1501	0	20
2025.01.02	16:50:00	2648.39	2649.24	2646.94	2648.98	1576	0	20
2025.01.02	16:55:00	2648.98	2649.33	2646.97	2647.51	1145	0	20
2025.01.02	17:00:00	2647.53	2648.78	2645.18	2647.63	1843	0	20
2025.01.02	17:05:00	2647.68	2649.63	2647.26	2648.66	1721	0	20
2025.01.02	17:10:00	2648.67	2649.03	2646.51	2648.60	1547	0	20
2025.01.02	17:15:00	2648.60	2649.47	2647.74	2648.52	1020	0	20
2025.01.02	17:20:00	2648.53	2649.18	2647.55	2648.96	1130	0	20
2025.01.02	17:25:00	2648.97	2649.64	2647.64	2648.52	1802	0	20
2025.01.02	17:30:00	2648.52	2652.88	2648.31	2652.21	1350	0	20
2025.01.02	17:35:00	2652.21	2653.65	2651.33	2652.68	1280	0	20
2025.01.02	17:40:00	2652.68	2653.44	2651.24	2652.00	1319	0	20
2025.01.02	17:45:00	2651.92	2654.23	2651.42	2654.21	1681	0	20
2025.01.02	17:50:00	2654.20	2655.37	2653.76	2655.04	1706	0	20
2025.01.02	17:55:00	2655.04	2655.91	2653.32	2654.09	1328	0	20
2025.01.02	18:00:00	2654.01	2654.26	2650.00	2650.93	1762	0	20
2025.01.02	18:05:00	2651.00	2652.66	2649.97	2652.66	1123	0	20
2025.01.02	18:10:00	2652.68	2654.43	2652.14	2653.64	1312	0	20
2025.01.02	18:15:00	2653.54	2656.09	2653.38	2656.08	1644	0	20
2025.01.02	18:20:00	2656.04	2657.72	2655.47	2657.53	1357	0	20
2025.01.02	18:25:00	2657.53	2657.95	2656.31	2656.76	1545	0	20
2025.01.02	18:30:00	2656.76	2657.07	2654.88	2655.98	1239	0	20
2025.01.02	18:35:00	2655.98	2657.96	2655.98	2657.80	1177	0	20
2025.01.02	18:40:00	2657.67	2658.40	2656.84	2657.56	810	0	20
2025.01.02	18:45:00	2657.50	2659.52	2657.43	2659.01	827	0	20
2025.01.02	18:50:00	2659.04	2659.90	2658.08	2659.84	773	0	20
2025.01.02	18:55:00	2659.79	2660.33	2659.09	2659.23	749	0	20
2025.01.02	19:00:00	2659.23	2660.40	2659.00	2660.22	929	0	20
2025.01.02	19:05:00	2660.22	2660.34	2657.96	2658.16	631	0	22
2025.01.02	19:10:00	2658.16	2659.43	2658.04	2659.01	575	0	20
2025.01.02	19:15:00	2658.92	2658.92	2656.40	2658.03	572	0	23
2025.01.02	19:20:00	2658.03	2659.87	2658.03	2658.38	715	0	20
2025.01.02	19:25:00	2658.36	2658.36	2655.91	2656.35	689	0	20
2025.01.02	19:30:00	2656.35	2656.41	2653.26	2653.78	797	0	20
2025.01.02	19:35:00	2653.75	2654.35	2653.05	2654.34	978	0	20
2025.01.02	19:40:00	2654.32	2654.39	2653.25	2653.66	918	0	20
2025.01.02	19:45:00	2653.71	2653.76	2652.77	2653.03	737	0	20
2025.01.02	19:50:00	2653.03	2655.06	2652.51	2654.93	642	0	20
2025.01.02	19:55:00	2654.98	2656.71	2654.22	2656.51	704	0	20
2025.01.02	20:00:00	2656.52	2658.31	2655.92	2657.55	804	0	20
2025.01.02	20:05:00	2657.62	2658.83	2657.58	2657.87	765	0	20
2025.01.02	20:10:00	2657.71	2658.18	2656.43	2656.79	661	0	20
2025.01.02	20:15:00	2656.80	2658.13	2656.20	2657.61	853	0	20
2025.01.02	20:20:00	2657.70	2658.05	2655.57	2655.84	772	0	20
2025.01.02	20:25:00	2655.87	2656.97	2654.96	2654.99	809	0	20
2025.01.02	20:30:00	2654.99	2655.07	2653.81	2654.39	629	0	20
2025.01.02	20:35:00	2654.42	2656.13	2654.40	2655.15	435	0	20
2025.01.02	20:40:00	2655.15	2656.01	2654.40	2655.83	513	0	20
2025.01.02	20:45:00	2655.84	2656.03	2654.75	2655.36	520	0	20
2025.01.02	20:50:00	2655.36	2655.64	2654.67	2655.01	560	0	20
2025.01.02	20:55:00	2655.02	2655.85	2654.95	2655.44	716	0	20
2025.01.02	21:00:00	2655.50	2655.93	2654.59	2655.68	834	0	20
2025.01.02	21:05:00	2655.85	2655.85	2654.39	2654.55	480	0	20
2025.01.02	21:10:00	2654.48	2655.04	2654.20	2654.42	413	0	20
2025.01.02	21:15:00	2654.42	2655.19	2653.72	2654.84	676	0	20
2025.01.02	21:20:00	2654.73	2655.48	2654.38	2654.99	724	0	20
2025.01.02	21:25:00	2655.00	2656.11	2654.95	2655.50	545	0	20
2025.01.02	21:30:00	2655.50	2655.97	2654.80	2655.66	759	0	20
2025.01.02	21:35:00	2655.64	2657.13	2655.60	2656.11	533	0	20
2025.01.02	21:40:00	2656.11	2656.20	2654.40	2654.96	437	0	20
2025.01.02	21:45:00	2654.97	2655.40	2654.36	2654.90	595	0	20
2025.01.02	21:50:00	2654.90	2655.59	2654.40	2655.50	636	0	20
2025.01.02	21:55:00	2655.52	2655.54	2654.44	2654.73	800	0	20
2025.01.02	22:00:00	2654.68	2654.98	2654.14	2654.93	809	0	20
2025.01.02	22:05:00	2655.09	2655.97	2655.02	2655.72	675	0	20
2025.01.02	22:10:00	2655.70	2657.23	2655.49	2656.94	803	0	20
2025.01.02	22:15:00	2656.97	2657.62	2656.33	2657.62	625	0	20
2025.01.02	22:20:00	2657.62	2659.31	2657.58	2659.26	444	0	20
2025.01.02	22:25:00	2659.28	2660.43	2658.48	2659.80	538	0	20
2025.01.02	22:30:00	2659.83	2660.41	2659.61	2659.80	565	0	20
2025.01.02	22:35:00	2659.79	2659.80	2658.69	2659.04	491	0	20
2025.01.02	22:40:00	2659.05	2659.88	2658.78	2659.00	459	0	20
2025.01.02	22:45:00	2659.05	2659.99	2659.05	2659.42	791	0	20
2025.01.02	22:50:00	2659.59	2659.98	2659.05	2659.71	629	0	20
2025.01.02	22:55:00	2659.60	2659.84	2659.17	2659.65	615	0	20
2025.01.02	23:00:00	2659.67	2660.13	2659.48	2659.94	158	0	20
2025.01.02	23:05:00	2659.92	2659.92	2659.47	2659.76	120	0	24
2025.01.02	23:10:00	2659.76	2659.76	2658.91	2658.91	113	0	24
2025.01.02	23:15:00	2658.93	2659.22	2658.39	2658.41	144	0	20
2025.01.02	23:20:00	2658.39	2658.43	2657.79	2657.82	134	0	28
2025.01.02	23:25:00	2657.83	2658.61	2657.82	2658.08	256	0	20
2025.01.02	23:30:00	2658.20	2658.35	2656.50	2657.26	169	0	20
2025.01.02	23:35:00	2657.32	2657.91	2657.31	2657.91	166	0	20
2025.01.02	23:40:00	2657.91	2658.05	2657.73	2657.89	84	0	20
2025.01.02	23:45:00	2657.85	2658.39	2657.07	2657.18	150	0	21
2025.01.02	23:50:00	2657.19	2657.54	2656.94	2657.40	123	0	32
2025.01.03	01:05:00	2657.39	2657.74	2657.39	2657.62	42	0	50
2025.01.03	01:10:00	2657.62	2657.73	2657.37	2657.71	53	0	48
2025.01.03	01:15:00	2657.61	2658.85	2657.60	2658.26	53	0	35
2025.01.03	01:20:00	2658.30	2658.53	2658.17	2658.36	74	0	35
2025.01.03	01:25:00	2658.28	2658.65	2658.27	2658.61	58	0	35
2025.01.03	01:30:00	2658.61	2658.88	2658.30	2658.86	112	0	35
2025.01.03	01:35:00	2658.86	2659.00	2658.49	2658.71	69	0	35
2025.01.03	01:40:00	2658.71	2659.31	2658.60	2659.10	77	0	35
2025.01.03	01:45:00	2659.20	2659.30	2658.03	2658.23	126	0	35
2025.01.03	01:50:00	2658.23	2658.48	2657.65	2658.42	196	0	35
2025.01.03	01:55:00	2658.47	2658.56	2657.52	2658.27	285	0	35
2025.01.03	02:00:00	2658.27	2660.32	2658.27	2660.17	268	0	35
2025.01.03	02:05:00	2660.15	2660.98	2660.10	2660.71	250	0	35
2025.01.03	02:10:00	2660.66	2660.90	2660.46	2660.69	229	0	35
2025.01.03	02:15:00	2660.69	2661.00	2660.62	2660.63	203	0	35
2025.01.03	02:20:00	2660.63	2660.63	2659.09	2659.52	156	0	35
2025.01.03	02:25:00	2659.54	2660.56	2659.53	2659.61	169	0	35
2025.01.03	02:30:00	2659.72	2660.02	2659.34	2659.69	88	0	35
2025.01.03	02:35:00	2659.81	2660.19	2659.17	2659.21	387	0	35
2025.01.03	02:40:00	2659.21	2659.40	2658.48	2658.95	436	0	35
2025.01.03	02:45:00	2658.94	2659.97	2658.56	2659.82	235	0	35
2025.01.03	02:50:00	2659.95	2660.81	2659.69	2660.61	177	0	35
2025.01.03	02:55:00	2660.60	2660.89	2660.15	2660.51	268	0	34
2025.01.03	03:00:00	2660.56	2662.48	2659.67	2660.06	838	0	20
2025.01.03	03:05:00	2660.04	2660.07	2659.26	2660.06	409	0	20
2025.01.03	03:10:00	2660.06	2661.13	2659.98	2660.81	419	0	26
2025.01.03	03:15:00	2660.81	2661.33	2659.34	2659.99	465	0	20
2025.01.03	03:20:00	2659.94	2660.08	2658.23	2658.90	388	0	20
2025.01.03	03:25:00	2658.80	2659.02	2658.04	2658.74	367	0	20
2025.01.03	03:30:00	2658.80	2659.09	2657.95	2658.81	436	0	25
2025.01.03	03:35:00	2658.85	2659.05	2657.74	2657.98	321	0	23
2025.01.03	03:40:00	2657.99	2658.33	2656.63	2656.94	390	0	30
2025.01.03	03:45:00	2656.90	2658.46	2656.88	2658.18	380	0	30
2025.01.03	03:50:00	2658.18	2658.93	2658.17	2658.64	392	0	25
2025.01.03	03:55:00	2658.66	2660.12	2658.53	2659.36	426	0	24
2025.01.03	04:00:00	2659.31	2659.73	2656.25	2656.75	484	0	20
2025.01.03	04:05:00	2656.74	2660.25	2656.64	2658.84	735	0	20
2025.01.03	04:10:00	2658.88	2659.92	2658.23	2659.29	418	0	20
2025.01.03	04:15:00	2659.29	2663.98	2659.28	2661.35	542	0	20
2025.01.03	04:20:00	2661.35	2662.46	2660.13	2660.13	399	0	20
2025.01.03	04:25:00	2660.15	2660.61	2658.58	2659.27	461	0	22
2025.01.03	04:30:00	2659.27	2661.59	2658.89	2660.93	701	0	20
2025.01.03	04:35:00	2660.92	2661.69	2660.29	2661.51	254	0	22
2025.01.03	04:40:00	2661.51	2661.99	2660.79	2661.39	341	0	20
2025.01.03	04:45:00	2661.34	2661.34	2659.95	2660.36	336	0	20
2025.01.03	04:50:00	2660.36	2662.12	2659.85	2661.83	420	0	20
2025.01.03	04:55:00	2661.83	2663.02	2660.95	2662.42	651	0	20
2025.01.03	05:00:00	2662.42	2662.58	2661.20	2661.43	409	0	21
2025.01.03	05:05:00	2661.48	2664.59	2661.28	2662.92	584	0	20
2025.01.03	05:10:00	2662.94	2664.00	2662.43	2663.10	522	0	20
2025.01.03	05:15:00	2663.20	2664.16	2662.93	2664.15	381	0	20
2025.01.03	05:20:00	2664.15	2664.92	2663.54	2664.67	514	0	20
2025.01.03	05:25:00	2664.67	2665.22	2663.37	2663.53	526	0	23
2025.01.03	05:30:00	2663.52	2663.64	2662.83	2663.46	280	0	27
2025.01.03	05:35:00	2663.46	2663.65	2662.49	2662.85	232	0	20
2025.01.03	05:40:00	2662.86	2663.16	2662.04	2662.45	248	0	24
2025.01.03	05:45:00	2662.44	2663.42	2662.19	2663.36	299	0	20
2025.01.03	05:50:00	2663.32	2663.49	2662.66	2662.74	238	0	21
2025.01.03	05:55:00	2662.76	2662.77	2662.16	2662.26	239	0	26
2025.01.03	06:00:00	2662.24	2662.34	2661.82	2662.15	314	0	20
2025.01.03	06:05:00	2662.12	2662.37	2661.75	2662.29	296	0	20
2025.01.03	06:10:00	2662.30	2662.95	2662.02	2662.80	234	0	20
2025.01.03	06:15:00	2662.79	2663.54	2662.60	2663.34	168	0	20
2025.01.03	06:20:00	2663.31	2664.29	2663.29	2663.99	185	0	20
2025.01.03	06:25:00	2663.97	2664.42	2663.60	2664.05	144	0	20
2025.01.03	06:30:00	2664.07	2664.20	2662.71	2662.75	163	0	20
2025.01.03	06:35:00	2662.75	2662.94	2661.96	2662.45	162	0	20
2025.01.03	06:40:00	2662.45	2662.71	2662.03	2662.24	214	0	20
2025.01.03	06:45:00	2662.21	2662.72	2662.15	2662.37	227	0	24
2025.01.03	06:50:00	2662.37	2662.65	2661.81	2662.46	195	0	20
2025.01.03	06:55:00	2662.46	2663.13	2662.33	2662.84	205	0	20
2025.01.03	07:00:00	2662.86	2662.94	2661.98	2662.03	410	0	20
2025.01.03	07:05:00	2661.99	2662.03	2661.12	2661.29	533	0	20
2025.01.03	07:10:00	2661.39	2661.62	2661.19	2661.39	341	0	22
2025.01.03	07:15:00	2661.38	2661.39	2660.56	2660.56	229	0	25
2025.01.03	07:20:00	2660.56	2660.85	2659.93	2659.94	279	0	20
2025.01.03	07:25:00	2659.95	2660.75	2659.92	2660.42	346	0	20
2025.01.03	07:30:00	2660.42	2660.42	2659.25	2659.55	460	0	20
2025.01.03	07:35:00	2659.55	2659.90	2658.62	2659.08	483	0	20
2025.01.03	07:40:00	2659.08	2659.54	2658.80	2658.93	314	0	20
